,payment_type,payment_type_id,payment_type_name
1207,2,1207,Cash
1208,1,1208,Credit card
1209,1,1209,Credit card
1210,1,1210,Credit card
1211,1,1211,Credit card
1212,1,1212,Credit card
1213,1,1213,Credit card
1214,1,1214,Credit card
1215,1,1215,Credit card
1216,1,1216,Credit card
1217,1,1217,Credit card
1218,1,1218,Credit card
1219,1,1219,Credit card
1220,2,1220,Cash
1221,1,1221,Credit card
1222,1,1222,Credit card
1223,1,1223,Credit card
1224,1,1224,Credit card
1225,1,1225,Credit card
1226,1,1226,Credit card
1227,1,1227,Credit card
1228,1,1228,Credit card
1229,1,1229,Credit card
1230,1,1230,Credit card
1231,1,1231,Credit card
1232,2,1232,Cash
1233,2,1233,Cash
1234,1,1234,Credit card
1235,1,1235,Credit card
1236,1,1236,Credit card
1237,1,1237,Credit card
1238,1,1238,Credit card
1239,1,1239,Credit card
1240,1,1240,Credit card
1241,2,1241,Cash
1242,2,1242,Cash
1243,1,1243,Credit card
1244,1,1244,Credit card
1245,1,1245,Credit card
