,rate_code_id,RatecodeID,rate_code_name
952,952,1,Standard rate
953,953,1,Standard rate
954,954,1,Standard rate
955,955,1,Standard rate
956,956,1,Standard rate
957,957,1,Standard rate
958,958,1,Standard rate
959,959,1,Standard rate
960,960,1,Standard rate
961,961,1,Standard rate
962,962,1,Standard rate
963,963,1,Standard rate
964,964,1,Standard rate
965,965,1,Standard rate
966,966,1,Standard rate
967,967,1,Standard rate
968,968,1,Standard rate
969,969,1,Standard rate
970,970,1,Standard rate
971,971,1,Standard rate
972,972,1,Standard rate
973,973,1,Standard rate
974,974,1,Standard rate
975,975,1,Standard rate
976,976,1,Standard rate
977,977,1,Standard rate
978,978,1,Standard rate
979,979,1,Standard rate
980,980,1,Standard rate
981,981,1,Standard rate
982,982,1,Standard rate
983,983,1,Standard rate
984,984,1,Standard rate
985,985,1,Standard rate
986,986,1,Standard rate
987,987,1,Standard rate
988,988,1,Standard rate
989,989,1,Standard rate
990,990,1,Standard rate
991,991,1,Standard rate
992,992,2,JFK
993,993,1,Standard rate
994,994,1,Standard rate
995,995,1,Standard rate
996,996,1,Standard rate
997,997,1,Standard rate
998,998,1,Standard rate
999,999,1,Standard rate
1000,1000,1,Standard rate
1001,1001,1,Standard rate
1002,1002,1,Standard rate
1003,1003,1,Standard rate
1004,1004,1,Standard rate
1005,1005,1,Standard rate
1006,1006,1,Standard rate
1007,1007,1,Standard rate
1008,1008,1,Standard rate
1009,1009,1,Standard rate
1010,1010,1,Standard rate
1011,1011,1,Standard rate
1012,1012,1,Standard rate
1013,1013,1,Standard rate
1014,1014,1,Standard rate
1015,1015,1,Standard rate
1016,1016,1,Standard rate
1017,1017,1,Standard rate
1018,1018,1,Standard rate
1019,1019,1,Standard rate
1020,1020,1,Standard rate
1021,1021,1,Standard rate
1022,1022,1,Standard rate
1023,1023,1,Standard rate
1024,1024,1,Standard rate
1025,1025,1,Standard rate
1026,1026,1,Standard rate
1027,1027,1,Standard rate
1028,1028,1,Standard rate
1029,1029,1,Standard rate
1030,1030,1,Standard rate
1031,1031,1,Standard rate
1032,1032,1,Standard rate
1033,1033,1,Standard rate
1034,1034,1,Standard rate
1035,1035,1,Standard rate
1036,1036,1,Standard rate
1037,1037,1,Standard rate
1038,1038,1,Standard rate
1039,1039,1,Standard rate
1040,1040,1,Standard rate
1041,1041,2,JFK
1042,1042,1,Standard rate
1043,1043,1,Standard rate
1044,1044,1,Standard rate
1045,1045,1,Standard rate
1046,1046,1,Standard rate
1047,1047,2,JFK
1048,1048,1,Standard rate
1049,1049,1,Standard rate
1050,1050,1,Standard rate
1051,1051,1,Standard rate
1052,1052,1,Standard rate
1053,1053,1,Standard rate
1054,1054,1,Standard rate
1055,1055,1,Standard rate
1056,1056,1,Standard rate
1057,1057,1,Standard rate
1058,1058,1,Standard rate
1059,1059,1,Standard rate
1060,1060,1,Standard rate
1061,1061,1,Standard rate
1062,1062,1,Standard rate
1063,1063,1,Standard rate
1064,1064,1,Standard rate
1065,1065,1,Standard rate
1066,1066,1,Standard rate
1067,1067,1,Standard rate
1068,1068,1,Standard rate
1069,1069,1,Standard rate
1070,1070,1,Standard rate
1071,1071,1,Standard rate
1072,1072,1,Standard rate
1073,1073,1,Standard rate
1074,1074,1,Standard rate
1075,1075,1,Standard rate
1076,1076,1,Standard rate
1077,1077,1,Standard rate
1078,1078,1,Standard rate
1079,1079,1,Standard rate
1080,1080,1,Standard rate
1081,1081,1,Standard rate
1082,1082,1,Standard rate
1083,1083,1,Standard rate
1084,1084,1,Standard rate
1085,1085,1,Standard rate
1086,1086,1,Standard rate
1087,1087,1,Standard rate
1088,1088,1,Standard rate
1089,1089,1,Standard rate
1090,1090,1,Standard rate
1091,1091,1,Standard rate
1092,1092,1,Standard rate
1093,1093,1,Standard rate
1094,1094,1,Standard rate
1095,1095,1,Standard rate
1096,1096,1,Standard rate
1097,1097,1,Standard rate
1098,1098,1,Standard rate
1099,1099,1,Standard rate
1100,1100,1,Standard rate
1101,1101,1,Standard rate
1102,1102,1,Standard rate
1103,1103,1,Standard rate
1104,1104,1,Standard rate
1105,1105,1,Standard rate
1106,1106,1,Standard rate
1107,1107,1,Standard rate
1108,1108,1,Standard rate
1109,1109,1,Standard rate
1110,1110,1,Standard rate
1111,1111,1,Standard rate
1112,1112,1,Standard rate
1113,1113,1,Standard rate
1114,1114,1,Standard rate
1115,1115,1,Standard rate
1116,1116,2,JFK
1117,1117,1,Standard rate
1118,1118,1,Standard rate
1119,1119,1,Standard rate
1120,1120,1,Standard rate
1121,1121,1,Standard rate
1122,1122,1,Standard rate
1123,1123,1,Standard rate
1124,1124,1,Standard rate
1125,1125,1,Standard rate
1126,1126,1,Standard rate
1127,1127,1,Standard rate
1128,1128,1,Standard rate
1129,1129,1,Standard rate
1130,1130,1,Standard rate
1131,1131,1,Standard rate
1132,1132,1,Standard rate
1133,1133,1,Standard rate
1134,1134,1,Standard rate
1135,1135,1,Standard rate
1136,1136,1,Standard rate
1137,1137,1,Standard rate
